FirstYear,-,SecondYear,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season
1849,-,1850,0,0,0,3.14,8.66,6.2,8.34,1.77,4.53,0.46,0,0,33.1
1850,-,1851,0,0,0.33,0,0.92,1.05,0.72,0.54,1.94,1.23,0.67,0.02,7.42
1851,-,1852,0,0.02,1.03,0.21,2.21,7.1,0.58,0.14,6.68,0.26,0.32,0,18.55
1852,-,1853,0,0,0,0.8,5.31,13.2,3.92,1.42,4.86,5.37,0.38,0,35.26
1853,-,1854,0,0.04,0.46,0.12,2.28,2.32,3.88,8.04,3.51,3.12,0.02,0.08,23.87
1854,-,1855,0,0.01,0.15,2.43,0.34,0.87,3.67,4.77,4.64,4.99,1.88,0.08,23.83
1855,-,1856,0,0,0,0,0.67,5.76,9.4,0.5,1.6,2.94,0.76,0.03,21.66
1856,-,1857,0.02,0,0.07,0.45,2.79,3.75,2.45,8.59,1.62,0,0.05,0.12,19.91
1857,-,1858,0,0.05,0,0.93,3.01,4.14,4.36,1.83,5.55,1.55,0.34,0.05,21.81
1858,-,1859,0.05,0.16,0,2.74,0.69,6.14,1.28,6.32,3.02,0.27,1.55,0,22.22
1859,-,1860,0,0.02,0.03,0.05,7.28,1.57,1.64,1.6,3.99,3.14,2.86,0.09,22.27
1860,-,1861,0.21,0,0,0.91,0.58,6.16,2.47,3.72,4.08,0.51,1,0.08,19.72
1861,-,1862,0,0,0.02,0,4.1,9.54,24.36,7.53,2.2,0.73,0.74,0.05,49.27
1862,-,1863,0,0,0,0.52,0.15,2.35,3.63,3.19,2.06,1.61,0.23,0,13.74
1863,-,1864,0,0,0.03,0,2.55,1.8,1.83,0,1.52,1.57,0.78,0,10.08
1864,-,1865,0,0.21,0.01,0.13,6.68,8.91,5.14,1.34,0.74,0.94,0.63,0,24.73
1865,-,1866,0,0,0.24,0.26,4.19,0.58,10.88,2.12,3.04,0.12,1.46,0.04,22.93
1866,-,1867,0,0,0.11,0,3.35,15.16,5.16,7.2,1.58,2.36,0,0,34.92
1867,-,1868,0,0,0.04,0.2,3.41,10.69,9.5,6.13,6.3,2.31,0.03,0.23,38.84
1868,-,1869,0,0,0,0.15,1.18,4.34,6.35,3.9,3.14,2.19,0.08,0.02,21.35
1869,-,1870,0,0,0.12,1.29,1.19,4.31,3.89,4.78,2,1.53,0.2,0,19.31
1870,-,1871,0,0,0.03,0,0.43,3.38,3.07,3.76,1.31,1.89,0.23,0.01,14.11
1871,-,1872,0,0.02,0,0.07,2.81,14.36,4,6.9,1.59,0.81,0.18,0.04,30.78
1872,-,1873,0.01,0,0.04,0.11,2.79,5.95,1.58,3.94,0.79,0.43,0,0.02,15.66
1873,-,1874,0.01,0.08,0,0.83,1.16,9.72,5.66,2.21,3.36,0.9,0.66,0.14,24.73
1874,-,1875,0,0,0.02,2.69,6.55,0.33,8.01,0.32,1.3,0.1,0.22,1.02,20.56
1875,-,1876,0,0,0,0.24,7.27,4.15,7.55,4.92,5.49,1.29,0.24,0.04,31.19
1876,-,1877,0.01,0.01,0.38,3.36,0.25,0,4.32,1.18,1.08,0.26,0.18,0.01,11.04
1877,-,1878,0.02,0,0,0.65,1.57,2.66,11.97,12.52,4.56,1.06,0.16,0.01,35.18
1878,-,1879,0.01,0,0.55,1.27,0.57,0.58,3.52,4.9,8.75,1.89,2.35,0.05,24.44
1879,-,1880,0.01,0.02,0,0.78,4.03,4.46,2.23,1.87,2.08,10.06,1.12,0,26.66
1880,-,1881,0,0,0,0.05,0.33,12.33,8.69,4.65,0.9,2,0.22,0.69,29.86
1881,-,1882,0,0,0.25,0.54,1.94,3.85,1.68,2.96,3.45,1.22,0.21,0.04,16.14
1882,-,1883,0,0,0.26,2.66,4.18,2.01,1.92,1.04,3.01,1.51,3.52,0.01,20.12
1883,-,1884,0,0,0.42,1.42,1.6,0.92,3.94,6.65,8.24,6.33,0.23,2.57,32.32
1884,-,1885,0,0.04,0.33,2.55,0.26,7.68,2.53,0.3,1.01,3.17,0.04,0.19,18.1
1885,-,1886,0.06,0,0.11,0.72,11.78,4.99,7.42,0.24,2.07,5.28,0.37,0.01,33.05
1886,-,1887,0.23,0,0.01,1.48,0.84,2.07,1.9,9.24,0.84,2.3,0.06,0.07,19.04
1887,-,1888,0,0.01,0.29,0,0.99,3.34,6.81,0.94,3.6,0.11,0.38,0.27,16.74
1888,-,1889,0.01,0.01,0.98,0.13,3.99,5.8,1.28,0.72,7.78,0.96,2.17,0.03,23.86
1889,-,1890,0.01,0,0,7.28,2.9,13.81,9.61,5.16,4.73,1.18,1.07,0.1,45.85
1890,-,1891,0.02,0,0.31,0,0,3.25,0.98,7.26,1.96,2.44,1.25,0.11,17.58
1891,-,1892,0.1,0.02,0.77,0.04,0.56,5.62,2.42,2.9,2.85,1.39,1.86,0,18.53
1892,-,1893,0,0,0.02,1.65,3.91,5.08,3.05,2.75,4.08,1.03,0.15,0.03,21.75
1893,-,1894,0.02,0,0.21,0.16,4.18,2.25,5.99,2.69,0.6,0.5,1.31,0.56,18.47
1894,-,1895,0,0,1.05,1.73,0.88,9.01,6.99,2.31,1.89,1.24,0.6,0,25.7
1895,-,1896,0.01,0,0.77,0.11,1.78,1.43,8.14,0.28,2.85,5.16,0.72,0,21.25
1896,-,1897,0.04,0.09,0.52,1.55,4.56,4.34,2.26,4.41,4.56,0.27,0.61,0.22,23.43
1897,-,1898,0,0,0.1,1.7,1.05,1.22,1.12,2.13,0.24,0.19,1.44,0.19,9.38
1898,-,1899,0,0,1.06,0.86,0.46,1.62,3.67,0.1,7.61,0.62,0.86,0.01,16.87
1899,-,1900,0,0,0,3.92,3.79,2.65,4.11,0.64,1.91,1.08,0.32,0.05,18.47
1900,-,1901,0,0,0.46,1.48,3.91,1.37,5.79,5.03,0.8,1.64,0.69,0,21.17
1901,-,1902,0,0,0.78,0.64,3.48,0.9,1.23,7.27,2.65,0.98,1.05,0,18.98
1902,-,1903,0,0,0,1.7,1.98,2.32,3.73,1.76,6.23,0.56,0,0,18.28
1903,-,1904,0,0,0,0.17,4.25,1.63,1.05,5.89,6.01,1.29,0.3,0,20.59
1904,-,1905,0.02,0.06,5.07,2.37,1.07,1.59,4.04,2.7,3.15,1.33,2.05,0,23.45
1905,-,1906,0,0,0,0,0.92,2.05,3.9,4.3,5.02,0.92,2.75,0.56,20.42
1906,-,1907,0.08,0.11,0.18,0.03,1.59,6.9,4.41,3.02,8.42,0.11,0.04,1.28,26.17
1907,-,1908,0,0.02,0.11,1.36,0.04,3.66,4.88,5.39,0.9,0.22,0.76,0.01,17.35
1908,-,1909,0.02,0.01,0.13,0.61,1.34,2.15,10.51,7.53,3.27,0,0,0,25.57
1909,-,1910,0,0,0.8,1.23,2.43,5.59,3.24,2.09,3.78,0.31,0.03,0.02,19.52
1910,-,1911,0,0,0.05,0.65,0.48,1.73,13.79,3.02,4.57,0.89,0.28,0.03,25.49
1911,-,1912,0,0,0,0.28,0.6,2.54,2.47,0.41,4.1,1.38,1.47,0.81,14.06
1912,-,1913,0,0,1.25,0.49,1.94,1.3,3.84,0.43,1.47,0.6,0.63,0.02,11.97
1913,-,1914,0.07,0.01,0,0.35,6.22,5.41,9.76,5.04,1.09,0.99,0.37,0.29,29.6
1914,-,1915,0.02,0,0,0.29,0.7,5.49,6.74,7.36,3.02,0.62,3.17,0,27.41
1915,-,1916,0.01,0,0,0.01,0.92,6.42,14.59,3.77,1.33,0,0.07,0,27.12
1916,-,1917,0.03,0.29,1.2,0.52,1.5,4.79,1.83,3.81,1.42,0.33,0.06,0,15.78
1917,-,1918,0,0,0.02,0,0.81,0.72,0.81,5.79,2.73,0.6,0,0,11.48
1918,-,1919,0,0,2.53,0.17,5.6,2.62,2.57,9.31,2.74,0.1,0,0,25.64
1919,-,1920,0.01,0,0.39,0.27,0.44,3.21,0.26,1.23,3.25,1.36,0,0.04,10.46
1920,-,1921,0,0,0.13,1.83,2.7,7.48,6.3,1.38,2.28,0.54,0.52,0,23.16
1921,-,1922,0,0,0.35,0.52,1.43,6.39,2.41,5.15,2.38,0.47,0.55,0.26,19.91
1922,-,1923,0,0,0,2.95,3.77,7.77,2.84,0.77,0.03,3.92,0.06,0.06,22.17
1923,-,1924,0,0.01,0.44,0.46,0.49,1.91,2.75,3.3,1.96,0.3,0,0,11.62
1924,-,1925,0,0.01,0,2.98,1.5,7.37,1.62,7.9,2.63,2.73,4.02,0.05,30.81
1925,-,1926,0.06,0,0.45,0.31,2.32,1.01,5.48,5.4,0.25,5.26,0.15,0,20.69
1926,-,1927,0,0.04,0,1.9,7.21,1.04,3.77,6.85,2.19,1.95,0.1,0.38,25.43
1927,-,1928,0,0,0,1.93,3.18,3.94,2.4,1.97,4.65,1.31,0.26,0,19.64
1928,-,1929,0,0,0.03,0.04,3.35,4.89,1.32,2.14,1.56,1.01,0.01,0.86,15.21
1929,-,1930,0,0,0,0.01,0,3.09,4.99,2.94,3.53,1.56,0.16,0,16.28
1930,-,1931,0,0,0.1,0.89,1.56,0.98,5.5,1.1,1.68,0.31,1.1,0.32,13.54
1931,-,1932,0,0,0,0.68,2.93,9.24,3.23,3,0.86,0.47,0.65,0.03,21.09
1932,-,1933,0,0,0,0.01,1,2.75,5.68,1.13,2.93,0.06,1.36,0.01,14.93
1933,-,1934,0,0,0.14,1.49,0,4.19,1.03,4.68,0.07,0.51,0.12,0.68,12.91
1934,-,1935,0.01,0,0.13,0.88,3.76,4.06,6.23,2.38,2.31,3.45,0.01,0,23.22
1935,-,1936,0,0.25,0.08,1.44,1.24,3.25,5.77,10.06,1.01,1.09,0.49,0.28,24.96
1936,-,1937,0.03,0.02,0,0.69,0.01,2.94,5.26,4.88,7.05,0.86,0.06,0.59,22.39
1937,-,1938,0,0,0,0.9,2.46,3.73,2.65,8.49,5.73,1.52,0,0,25.48
1938,-,1939,0.01,0,0.15,1.33,0.88,1.48,3.07,1.94,2.62,0.42,0.63,0,12.53
1939,-,1940,0,0,1.06,0.17,0.2,1.05,9.98,7.81,5.32,0.94,0.63,0.01,27.17
1940,-,1941,0,0,0.59,1.05,2.22,6.25,8.24,6.71,4.75,4.05,1.18,0.01,35.05
1941,-,1942,0.01,0.03,0,0.93,1.99,7.29,4.76,4.27,2.62,3.65,1.11,0,26.66
1942,-,1943,0.01,0,0.18,0.95,4.45,2.87,6.15,1.95,3.18,1.88,0.13,0.13,21.88
1943,-,1944,0,0,0.02,0.74,0.8,2.69,4.31,5.34,0.83,2.07,0.94,0.12,17.86
1944,-,1945,0.01,0.02,0,1.7,6.24,3.97,1.33,3.43,4.15,0.32,0.64,0.01,21.82
1945,-,1946,0,0,0.04,1.95,3.24,9.84,1.76,2.03,2.34,0.05,0.37,0.02,21.64
1946,-,1947,0.06,0,0.06,0.15,2.73,2.77,1.35,2.65,3.64,0.17,0.67,0.64,14.89
1947,-,1948,0,0,0,2.09,1.39,1.84,1,2.32,3.36,3.04,0.54,0.01,15.59
1948,-,1949,0.02,0.02,0.09,0.2,1.18,4.75,2.2,3.04,5.85,0,0.93,0,18.28
1949,-,1950,0.06,0.04,0,0.08,1.18,2.77,7.4,2.33,1.65,0.87,0.37,0.03,16.78
1950,-,1951,0,0,0,2.72,4.96,6.01,4.41,3,1.32,0.89,0.65,0.04,24
1951,-,1952,0.01,0.43,0.08,0.81,3.33,7.92,10.69,2.62,4.9,1.08,0.3,0.39,32.56
1952,-,1953,0,0.01,0,0.07,2.42,9.06,3.26,0.04,1.83,3.42,0.38,0.61,21.1
1953,-,1954,0,0.07,0,0.34,1.88,0.82,3.11,2.42,4.56,0.82,0.11,0.14,14.27
1954,-,1955,0.03,0.2,0,0.24,2.55,5.67,4.05,1.18,0.29,1.49,0.04,0,15.74
1955,-,1956,0.02,0,0.02,0.03,2.38,11.47,8.72,2.03,0.12,1.68,0.68,0.02,27.17
1956,-,1957,0,0.01,0.33,1.14,0.04,0.37,2.84,3.58,2.39,1.09,3.19,0.06,15.04
1957,-,1958,0.01,0,1.46,3.46,1.13,3.6,4.38,7.78,8.22,5.47,0.88,0.09,36.48
1958,-,1959,0.05,0,0.04,0.12,0.09,1.48,3.96,4.04,0.3,0.36,0.02,0,10.46
1959,-,1960,0,0.02,2.06,0,0,1.71,4.04,3.57,2.06,1.16,0.85,0,15.47
1960,-,1961,0,0,0,0.48,3.35,2.31,2.79,0.96,2.27,0.79,0.88,0.04,13.87
1961,-,1962,0,0.02,0.22,0.09,4.44,2.13,1.08,6.57,2.74,0.36,0,0,17.65
1962,-,1963,0,0.07,0.22,5.51,0.6,2.81,3.35,1.92,3.87,3.35,0.45,0,22.15
1963,-,1964,0,0,0.06,1.39,3.52,0.87,3.37,0.19,2.12,0.01,0.22,0.57,12.32
1964,-,1965,0,0.01,0,1.9,3.99,5.35,3.97,0.94,2.92,3.21,0,0,22.29
1965,-,1966,0.02,0.49,0,0.01,4.79,3.51,3.27,2.72,0.8,0.36,0.19,0.17,16.33
1966,-,1967,0.06,0.1,0.1,0.01,4.8,3.87,9.49,0.22,4.35,4.9,0.09,1.42,29.41
1967,-,1968,0,0,0.04,0.53,1.1,2.12,4.54,2.28,3.15,0.48,0.22,0,14.46
1968,-,1969,0,0.03,0.06,0.62,2.67,3.91,7.74,7.26,1.01,1.74,0,0.05,25.09
1969,-,1970,0,0,0.01,2.61,0.45,6.15,7.81,1.56,1.55,0.06,0.03,0.57,20.8
1970,-,1971,0,0,0,0.84,6.44,5.39,2.04,0.26,2.91,0.72,0.19,0,18.79
1971,-,1972,0.01,0.01,0.22,0.11,1.92,3.93,1.32,2.13,0.23,1.07,0,0.11,11.06
1972,-,1973,0.01,0.04,0.54,5.41,6.4,3.53,9.38,6.32,2.63,0.02,0.08,0,34.36
1973,-,1974,0,0,0.33,1.81,8.64,4.21,3.66,1.54,5.47,2.2,0,0.1,27.96
1974,-,1975,0.73,0,0,0.91,0.4,1.83,2.85,4.3,5.97,1.3,0.01,0.03,18.33
1975,-,1976,0.21,0.02,0,2.73,0.4,0.58,0.33,1.96,1.04,0.75,0.01,0.02,8.05
1976,-,1977,0,0.8,0.45,0.43,1.18,2.53,1.85,0.93,2.31,0.05,0.55,0,11.08
1977,-,1978,0,0,0.96,0.16,2.22,3.33,6.94,4.14,5.9,4.21,0,0,27.86
1978,-,1979,0,0,0.19,0,1.67,0.91,7.43,5.58,1.95,0.85,0.12,0,18.7
1979,-,1980,0.07,0,0.02,1.94,3.69,4.12,4.63,6.79,1.73,1.29,0.27,0.02,24.57
1980,-,1981,0.05,0,0,0.06,0.29,2.09,4.97,2.09,4.73,0.19,0.16,0,14.63
1981,-,1982,0,0,0.03,2,5.3,5.11,9.78,3.78,7.54,3.03,0,0.06,36.63
1982,-,1983,0,0,0.72,2.79,5.62,2.22,5.77,8.06,9.04,3.48,0.47,0,38.17
1983,-,1984,0.01,0.06,0.68,0.26,8.2,7.72,0.5,2.34,1.32,0.92,0.16,0.3,22.47
1984,-,1985,0,0.24,0.1,2.94,7.45,2.1,0.59,1.98,3.94,0.27,0.09,0.31,20.01
1985,-,1986,0,0,0.38,0.8,4.83,2.47,4.77,8.29,6.25,0.76,0.13,0,28.68
1986,-,1987,0.03,0.01,1.32,0.11,0.2,1.64,4.26,3.77,2.31,0.14,0.06,0.01,13.86
1987,-,1988,0,0,0,1.07,3.09,5.09,4.93,0.4,0.07,1.73,0.66,0.7,17.74
1988,-,1989,0,0,0,0.64,3.7,4.23,1.26,1.49,5.28,0.7,0.06,0.07,17.43
1989,-,1990,0,0.05,0.98,1.18,1.33,0,4.02,2.45,1.34,0.58,2.38,0.01,14.32
1990,-,1991,0,0.04,0.12,0.2,0.52,1.94,0.6,3.29,5.89,1.07,0.36,0.05,14.08
1991,-,1992,0,0.42,0,2.35,0.5,2.32,2.09,6.34,4.41,0.38,0,0.39,19.2
1992,-,1993,0,0.02,0,1.16,0.4,6.03,9.82,4.48,2.9,0.71,0.87,0.27,26.66
1993,-,1994,0,0,0,0.33,2.16,2.25,2.77,4.87,0.35,1.12,1.31,0.06,15.22
1994,-,1995,0,0,0.22,0.33,10.49,2.69,8.97,0.24,7.88,1.61,0.97,0.62,34.02
1995,-,1996,0,0,0,0.06,0.08,8.13,6.71,5.28,1.28,1.56,1.79,0,24.89
1996,-,1997,0,0,0.04,1.04,4.73,7.63,7.54,0.32,0.58,0.29,0.16,0.3,22.63
1997,-,1998,0,0.73,0.04,1,6.97,2.77,12.08,14.89,2.54,2.13,3.92,0.15,47.22
1998,-,1999,0.01,0.01,0.09,0.91,4.02,1.42,4.41,7.35,2.34,2.58,0.23,0.12,23.49
1999,-,2000,0,0.1,0.59,0.65,2.32,0.62,6.38,8.97,2.04,1.66,1.4,0.16,24.89
2000,-,2001,0.02,0.02,0.21,2.36,0.85,0.9,3.76,7.73,1.58,1.89,0,0.15,19.47
2001,-,2002,0.01,0.05,0.18,0.5,5.18,10.75,2.13,2.59,2.27,0.52,0.84,0.01,25.03
2002,-,2003,0,0.03,0.01,0.01,2,12.03,1.75,1.8,1.71,3.6,0.93,0,23.87
2003,-,2004,0,0.06,0,0.04,2.22,7.69,3.4,5.67,1.16,0.18,0.12,0,20.54
2004,-,2005,0,0.05,0.04,2.62,2.07,7.98,4.82,5.19,4.67,2.19,1.32,0.92,31.87
2005,-,2006,0.02,0.01,0,0.51,2.21,11.17,3.52,2.81,8.74,5.02,0.41,0,34.42
2006,-,2007,0,0,0,0.63,3.05,5.31,0.72,4.79,0.52,1.44,0.43,0,16.89
2007,-,2008,0.02,0,0.09,2.01,0.96,3.04,8.86,1.87,0.33,0.14,0.03,0,17.35
2008,-,2009,0,0.01,0,0.35,2.31,2.82,0.9,7.92,2.76,0.24,0.8,0,18.11
2009,-,2010,0,0,0.28,3.11,0.45,2.77,6.66,3.42,2.79,3.59,0.95,0.07,24.09
2010,-,2011,0,0.01,0.02,1.81,3.1,6.71,1.55,4.94,7.02,0.56,1.13,2.02,28.87
2011,-,2012,0.08,0.03,0,1.38,1.74,0.14,2.68,1.09,5.7,2.64,0.02,0.14,15.64
2012,-,2013,0.01,0.01,0,1.47,4.5,7.11,0.49,0.85,0.97,1.01,0.04,0.15,16.61
2013,-,2014,0,0.04,0.39,0,1.26,0.39,0.06,5.82,2.95,1.59,0.03,0.01,12.54
2014,-,2015,0.08,0.01,0.55,0.46,2.29,11.7,0,1.47,0.12,1.3,0.09,0.12,18.19
2015,-,2016,0.09,0.02,0.09,0,1.43,5.18,7.03,0.98,6.83,1.46,0.15,0,23.26
2016,-,2017,0.02,0.02,0,2.43,2.21,4.39,9.42,7.6,3.9,2.25,0,0.1,32.34
2017,-,2018,0,0.01,0.1,0.31,2.83,0.15,5.21,0.42,4.54,3.91,0.04,0.01,17.53
2018,-,2019,0,0,0,0.21,3.56,2.18,5.13,7.94,4.33,0.43,1.94,0,25.72
2019,-,2020,0,0,0.12,0.01,1.46,4.91,2.45,0,1.44,0.72,0.59,0,11.7
2020,-,2021,0.03,0.01,0,0.01,0.49,2.07,2.83,1.71,1.62,0.17,0.02,0.01,8.96
2021,-,2022,0,0.05,0.07,7.04,1.28,7.84,0.61,0.04,0.48,1.08,0.02,0.23,18.74
2022,-,2023,0.09,0,0.34,0,1.36,11.6,8.89,,,,,,